OBJECTID,STREET,LOCATION,TYPE,LANES,REASON,STATUS,START,END_,SOURCE,COMMENT,EVENT,created_date,last_edited_user,last_edited_date,created_user,REGION_CITY,AGO_USER,IS_DRILL,Shape__Length
2046,KING ST,BETWEEN CANNON ST AND WOOLFE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/07/25 09:00:00+00,2017/07/26 15:00:00+00,Charleston PD,ACCESSING MH FOR EMERGENCY REPAIR,,2017/07/25 18:40:05+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,72.9316063676994
2047,MARBEL LN,BETWEEN MARION ST AND MORRIS ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/04 06:00:00+00,2017/08/04 07:00:00+00,Charleston PD,BOOM TRUCK TO LIFT HVAC,,2017/07/27 20:20:40+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,64.0215879298972
2049,WOOLFE ST,BETWEEN MEETING ST AND KING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/02 07:00:00+00,2017/08/02 11:00:00+00,Charleston PD,SETTING UP CRANE TO REMOVE DEAD TREES,,2017/07/27 20:23:41+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,277.066326843827
2052,CUMBERLAND ST,BETWEEN MEETING ST AND CHURCH ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/07/31 09:00:00+00,2017/08/11 15:00:00+00,Charleston PD,PLACING AND SPLICING FIBER CABLE,,2017/07/27 20:28:04+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,215.141450084834
2053,HORLBECK ALY,BETWEEN KING ST AND MEETING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/07/31 09:00:00+00,2017/08/11 15:00:00+00,Charleston PD,PLACING AND SPLICING FIBER CABLE,,2017/07/27 20:29:06+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,189.567117085746
2054,CHURCH ST,BETWEEN CUMBERLAND ST AND S MARKET ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/07/31 09:00:00+00,2017/08/11 15:00:00+00,Charleston PD,PLACING AND SPLICING FIBER CABLE,,2017/07/27 20:30:12+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,146.418013786318
2056,MEETING ST,BETWEEN CUMBERLAND ST AND KING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/07/31 09:00:00+00,2017/08/11 15:00:00+00,Charleston PD,PLACING AND SPLICING FIBER CABLE,,2017/07/27 20:33:58+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,183.546378189476
2057,KING ST,BETWEEN CLIFFORD ST AND FULTON ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/07/31 09:00:00+00,2017/08/11 15:00:00+00,Charleston PD,PLACING AND SPLICING FIBER CABLE,,2017/07/27 20:34:51+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,64.8075343600806
2061,CALHOUN ST,BETWEEN SAINT PHILIP ST AND KING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/19 14:00:00+00,2017/08/19 19:00:00+00,Charleston PD,STUDENT MOVE IN,,2017/07/28 20:28:03+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,173.053497387896
2062,WARREN ST,BETWEEN SAINT PHILIP ST AND KING ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/08/19 06:00:00+00,2017/08/19 18:00:00+00,Charleston PD,STUDENT MOVE IN,,2017/07/28 20:29:16+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,174.755629017746
2063,SAINT PHILIP ST,BETWEEN VANDERHORST ST AND CALHOUN ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/08/19 14:00:00+00,2017/08/19 19:00:00+00,Charleston PD,STUDENT MOVE IN,,2017/07/28 20:30:37+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,234.81169811568
2064,SAINT PHILIP ST,BETWEEN VANDERHORST ST AND CALHOUN ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/08/19 06:00:00+00,2017/08/19 14:00:00+00,Charleston PD,STUDENT MOVE IN,,2017/07/28 20:31:43+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,234.81169811568
2065,LIBERTY ST,BETWEEN KING ST AND SAINT PHILIP ST ,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/08/19 06:00:00+00,2017/08/19 14:00:00+00,Charleston PD,STUDENT MOVE IN,,2017/07/28 20:33:32+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,169.668618700467
2066,SAINT PHILIP ST,BETWEEN GEORGE ST AND LIBERTY ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/18 14:00:00+00,2017/08/18 17:00:00+00,Charleston PD,STUDENT MOVE IN,,2017/07/28 20:36:27+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,135.143872712113
2067,GEORGE ST,BETWEEN KING ST AND SAINT PHILIP ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/08/18 17:00:00+00,2017/08/18 19:00:00+00,Charleston PD,STUDENT MOVE IN,,2017/07/28 20:37:33+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,181.31241775465
2068,SAINT PHILIP ST,BETWEEN WARREN ST AND VANDERHORST ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/18 14:00:00+00,2017/08/18 19:00:00+00,Charleston PD,STUDENT MOVE IN,,2017/07/28 20:38:32+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,129.299584619016
2069,WENTWORTH ST,BETWEEN SAINT PHILIP ST AND COMING ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/08/18 14:00:00+00,2017/08/18 19:00:00+00,Charleston PD,STUDENT MOVE IN,,2017/07/28 20:39:46+00,HAUCKR,2018/04/06 13:42:29+00,HERRINJ,,,No,248.309110215339
2070,LIBERTY ST,BETWEEN KING ST AND SAINT PHILIP ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/08/16 14:00:00+00,2017/08/16 19:00:00+00,Charleston PD,EARLY STUDENT MOVE IN,,2017/07/28 20:41:01+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,169.668618700467
2072,S MARKET ST,BETWEEN CHURCH ST AND STATE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/02 05:30:00+00,2017/08/02 08:30:00+00,Charleston PD,USING BOOM TRUCK TO STALL HVAC,,2017/07/31 20:35:28+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,133.578226254889
2073,COLUMBUS ST,BETWEEN KING ST AND MEETING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/07/31 09:00:00+00,2017/08/04 15:30:00+00,Charleston PD,PULLING IN WIRE IN CONDUIT,,2017/07/31 20:36:50+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,279.663426248028
2074,KING ST,BETWEEN COLUMBUS ST AND SPRING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/07/31 09:00:00+00,2017/08/04 15:30:00+00,Charleston PD,PULLING IN WIRE IN CONDUIT,,2017/07/31 20:37:52+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,115.242699164258
2075,COMING ST,BETWEEN BEAUFAIN ST AND WENTWORTH ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/03 09:30:00+00,2017/08/05 15:30:00+00,Charleston PD,FURNITURE DELIVERY,,2017/08/01 20:51:07+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,148.798971972238
2076,PRESIDENT ST,BETWEEN LINE ST AND KENNEDY ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/07/31 00:00:00+00,2017/09/30 00:00:00+00,Charleston PD,INSTALLING WATER SERVICES,,2017/08/01 20:53:33+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,119.836504120744
2077,VANDERHORST ST,BETWEEN KING ST AND SAINT PHILIP ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/05 09:00:00+00,2017/08/06 16:00:00+00,Charleston PD,LIFT FOR PRESSURE WASHING,,2017/08/02 20:27:47+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,174.930668513843
2079,MOULTRIE ST,BETWEEN SUTHERLAND CT AND RUTLEDGE AVE,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/10 09:00:00+00,2017/09/10 15:00:00+00,Charleston PD,INSTALLING GAS SERVICE,,2017/08/02 20:31:10+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,432.055902918705
2080,SAINT PHILIP ST,BETWEEN GREEN WAY AND GEORGE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/09 08:00:00+00,2017/08/10 15:30:00+00,Charleston PD,REPLACING STEAM PIPES,,2017/08/02 20:32:56+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,131.074124877096
2082,ASHLEY AVE,BETWEEN BEE ST AND CANNON ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/15 09:30:00+00,2017/10/15 15:30:00+00,Charleston PD,INSTALLING NEW WATER AND SEWER LINES,,2017/08/02 20:37:29+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,198.604249430753
2083,SPRING ST,BETWEEN RUTLEDGE AVE AND ASHLEY AVE,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/09/01 09:30:00+00,2017/11/01 15:30:00+00,Charleston PD,INSTALLATION OF WATER MAIN,,2017/08/07 20:31:34+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,151.471102583172
2084,ASHLEY AVE,BETWEEN SUMTER ST AND FISHBURNE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/01 09:30:00+00,2017/10/01 03:30:00+00,Charleston PD,INSTALLING NEW WATER AND SEWER SERVICES,,2017/08/07 20:33:35+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,221.563720355459
2085,RUTLEDGE AVE,BETWEEN HUGER ST AND CONGRESS ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/04 09:00:00+00,2017/08/11 15:30:00+00,Charleston PD,SETTING POLES,,2017/08/07 20:35:12+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,171.360921363348
2086,HUGER ST,BETWEEN RUTLEDGE AVE AND SENATE ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/04 09:00:00+00,2017/08/11 15:30:00+00,Charleston PD,SETTING POLES,,2017/08/07 20:36:14+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,108.188736843157
2090,E BAY ST,BETWEEN WENTWORTH ST AND SOCIETY ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/20 07:00:00+00,2017/08/20 11:00:00+00,Charleston PD,PRESSURE WASHING BUILDING,,2017/08/10 20:47:00+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,94.3026852488099
2092,BOGARD ST,BETWEEN SIRES ST AND PEECKSENS CT,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/19 09:00:00+00,2017/09/19 15:00:00+00,Charleston PD,INSTALLING/RETIRING GAS SERVICE,,2017/08/10 20:50:40+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,59.708908321772
2093,HANOVER ST,BETWEEN LINE ST AND COLUMBUS ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/08 09:00:00+00,2017/08/18 15:30:00+00,Charleston PD,SETTING NEW POLE,,2017/08/10 20:52:40+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,190.698620174304
2094,COLUMBUS ST,BETWEEN MEETING ST AND KING ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/08/13 21:00:00+00,2017/08/28 06:00:00+00,Charleston PD,TIE INTO MANHOLE,,2017/08/10 20:53:42+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,279.663426248028
2097,RUTLEDGE AVE,BETWEEN WENTWORTH ST AND BEAUFAIN ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/10 09:00:00+00,2017/08/10 15:00:00+00,Charleston PD,PAVING FOR C.W.S WATER MAIN BREAK,,2017/08/14 20:18:10+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,149.06348113526
2099,COLUMBUS ST,BETWEEN MEETING ST AND KING ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/08/13 21:00:00+00,2017/08/28 06:00:00+00,Charleston PD,TIE INTO MANHOLE IN MIDDLE OF STREET,,2017/08/14 20:22:15+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,279.663426248028
2100,BEE ST,BETWEEN LOCKWOOD DR AND CHERRY ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/20 07:00:00+00,2017/08/20 11:00:00+00,Charleston PD,,,2017/08/14 20:25:25+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,226.946563196912
2102,GEORGE ST,BETWEEN SAINT PHILIP ST AND GLEBE ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/09/05 10:00:00+00,2017/09/05 15:00:00+00,Charleston PD,NATIONAL CAMPUS SAFTEY AWARENESS MONTH,,2017/08/14 20:29:58+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,97.1411375981956
2103,GEORGE ST,BETWEEN SAINT PHILIP ST AND GLEBE ST,CLOSED,ALL LANES CLOSED,CONSTRUCTION,ACTIVE,2017/11/05 14:00:00+00,2017/11/05 21:00:00+00,Charleston PD,BASKETBALL BLOCK PARTY,,2017/08/14 20:31:55+00,HAUCKR,2018/04/06 13:42:30+00,HERRINJ,,,No,97.1411375981956
2104,ASHLEY AVE,BETWEEN WENTWORTH ST AND MONTAGU ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/17 09:00:00+00,2017/08/17 14:00:00+00,Charleston PD,PAINTING THE STREET,,2017/08/14 20:34:28+00,HAUCKR,2018/04/06 13:42:31+00,HERRINJ,,,No,150.140563795419
2105,CONCORD ST,BETWEEN S MARKET ST AND CUMBERLAND ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/11 00:00:00+00,2017/10/11 00:00:00+00,Charleston PD,INSTALLATION OF PROPOSED FIRE SERVICE,,2017/08/14 20:37:25+00,HAUCKR,2018/04/06 13:42:31+00,HERRINJ,,,No,123.435044862373
2106,HENRIETTA ST,BETWEEN ELIZABETH ST AND MEETING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/24 09:00:00+00,2017/09/24 15:00:00+00,Charleston PD,INSTALLING GAS SERVICE,,2017/08/14 20:39:21+00,HAUCKR,2018/04/06 13:42:31+00,HERRINJ,,,No,290.80342820158
2112,BOGARD ST,BETWEEN SIRES ST AND PEECKSEN CT,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/19 09:00:00+00,2017/09/19 15:00:00+00,Charleston PD,INSTALLING/RETIRING GAS SERVICES,,2017/08/23 20:40:56+00,HAUCKR,2018/04/06 13:42:31+00,HERRINJ,,,No,59.708908321772
2113,SOCIETY ST,BETWEEN ANSON ST AND E BAY ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/18 16:00:00+00,2017/08/22 12:00:00+00,Charleston PD,CONCRETE TRUCK,,2017/08/24 20:35:59+00,HAUCKR,2018/04/06 13:42:31+00,HERRINJ,,,No,204.495079945166
2114,MEETING ST,BETWEEN WOOLFE ST AND SPRING ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/31 09:00:00+00,2017/09/30 15:00:00+00,Charleston PD,INSTALLING GAS SERVICE,,2017/08/24 20:37:20+00,HAUCKR,2018/04/06 13:42:31+00,HERRINJ,,,No,148.011227308532
2117,BEAUFAIN ST,@ COMING ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2017/08/28 15:30:00+00,2017/08/28 16:15:00+00,Charleston PD,,,2017/08/28 19:41:39+00,HAUCKR,2018/04/06 13:42:31+00,city\keitha,,,No,1.19434954815103
2120,SHEPPARD ST,@ PERRY ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2017/08/28 15:30:00+00,2017/08/28 16:30:00+00,Charleston PD,,,2017/08/28 19:39:48+00,HAUCKR,2018/04/06 13:42:31+00,city\keitha,,,No,1.60797331287926
2121,S MARKET ST,BETWEEN CHURCH ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2017/08/28 15:45:00+00,2017/08/28 17:00:00+00,Charleston PD,,,2017/08/28 19:53:18+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:35:28+00,city\bentonm,,,No,190.713679750292
2124,MEETING ST,BETWEEN S MARKET ST AND CUMBERLAND ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/10 12:00:00+00,2017/08/10 18:00:00+00,Charleston PD,LOADING TRUCK,,2017/08/30 20:31:38+00,HAUCKR,2018/04/06 13:42:31+00,HERRINJ,,,No,162.119778134807
2125,E BAY ST,BETWEEN N MARKET ST AND GUIGNARD ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/09/01 09:00:00+00,2017/10/01 15:00:00+00,Charleston PD,RETIRING GAS SERVICE,,2017/08/30 20:32:56+00,HAUCKR,2018/04/06 13:42:31+00,HERRINJ,,,No,100.947534499279
2126,ASHLEY AVE,BETWEEN BEE ST AND CANNON ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,CONSTRUCTION,ACTIVE,2017/08/15 09:00:00+00,2017/10/15 15:00:00+00,Charleston PD,INSTALLING NEW WATER AND SEWER LINES,,2017/08/30 20:34:29+00,HAUCKR,2018/04/06 13:42:31+00,HERRINJ,,,No,198.604249430753
2129,WASHINGTON ST,@ HASELL ST,CLOSED - PARTIAL,LANES PARTIALLY BLOCKED,FLOOD,ACTIVE,2017/09/10 12:15:00+00,2017/09/10 13:30:00+00,Charleston PD,NORTH BOUND ON WASHINGTON CLOSED,,2017/09/10 16:13:51+00,HAUCKR,2018/04/06 13:42:31+00,city\keitha,,,No,4.81452135859161
2131,HAGOOD AVE,BETWEEN FISHBURNE ST AND LINE ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2017/09/10 12:45:00+00,2017/09/10 14:30:00+00,Charleston PD,,,2017/09/10 16:51:30+00,HAUCKR,2018/04/06 13:42:31+00,city\bentonm,,,No,223.668093769588
2133,BARRE ST,BETWEEN BEAUFAIN ST AND MONTAGU ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/10 12:30:00+00,2017/09/10 20:30:00+00,Charleston PD,,,2017/09/10 16:29:27+00,HAUCKR,2018/04/06 13:42:31+00,city\keitha,,,No,293.96018202971
2136,S MARKET ST,BETWEEN STATE ST AND E BAY ST,CLOSED,ALL LANES CLOSED,EMERGENCY,OPEN,2017/09/10 15:15:00+00,2017/09/11 06:30:00+00,Charleston PD,BROKEN WATER MAIN,,2017/09/10 19:48:22+00,HAUCKR,2018/04/06 13:42:32+00,city\bentonm,,,No,127.160839538511
2138,E BAY ST,BETWEEN S MARKET ST AND CUMBERLAND ST,CLOSED,ALL LANES CLOSED,EMERGENCY,ACTIVE,2017/09/10 15:15:00+00,2017/09/09 00:00:00+00,Charleston PD,BROKEN WATER MAIN,,2017/09/10 19:47:21+00,HAUCKR,2018/04/06 13:42:32+00,city\bentonm,,,No,127.609052749893
2140,CHERRY ST,BETWEEN BEE ST AND CANNON ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 10:30:00+00,2017/09/12 10:00:00+00,Charleston PD,,,2017/09/11 14:28:04+00,HAUCKR,2018/04/06 13:42:32+00,city\bentonm,,,No,138.182625240029
2143,OGIER ST,BETWEEN CALHOUN ST AND VANDERHORST ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 10:45:00+00,2017/09/12 10:00:00+00,Charleston PD,,,2017/09/11 14:46:16+00,HAUCKR,2018/04/06 13:42:32+00,city\bentonm,,,No,5.29086922703149
2145,HAGOOD AVE,BETWEEN FISHBURNE ST AND SPRING ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 10:45:00+00,2017/09/12 04:15:00+00,Charleston PD,,,2017/09/11 14:54:33+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:03:57+00,city\bentonm,,,No,643.801833376805
2147,ASHLEY AVE,BETWEEN BENNETT ST AND CALHOUN ST,CLOSED,ALL LANES CLOSED,FLOOD,ACTIVE,2017/09/11 11:15:00+00,2017/09/13 07:30:00+00,Charleston PD,,,2017/09/11 15:15:13+00,HAUCKR,2018/04/06 13:42:32+00,city\bentonm,,,No,200.811016795428
2151,N MARKET ST,BETWEEN E BAY ST AND MEETING ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 11:30:00+00,2017/09/11 22:30:00+00,Charleston PD,,,2017/09/11 15:37:33+00,HAUCKR,2018/04/06 13:42:32+00,city\bentonm,,,No,474.064135379044
2152,ASHLEY RIVER BRIDGE,WESTBOUND ,CLOSED,ALL LANES CLOSED,FLOOD,NO MAP,2017/09/11 11:30:00+00,2017/09/12 02:15:00+00,Charleston PD,ASHLEY RIVER BRIDGE (US 17) SOUTHBOUND IS CLOSED DUE TO FLOODING ON SAVANNAH HWY,,2017/09/11 15:40:05+00,CITY\PAZE@CITY-GIS.CITYCHS,2020/04/09 20:34:01+00,city\bentonm,,,No,1669.71418432109
2154,BULL ST,@ RUTLEDGE AVE,CLOSED,ALL LANES CLOSED,EMERGENCY,OPEN,2017/09/11 12:00:00+00,2017/09/12 11:45:00+00,Charleston PD,DOWNED TREE BLOCKING LANES,,2017/09/11 16:08:09+00,HAUCKR,2018/04/06 13:42:32+00,city\bentonm,,,No,26.8392801896489
2158,CHURCH ST,BETWEEN CUMBERLAND ST AND S MARKET ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 13:45:00+00,2017/09/11 22:30:00+00,Charleston PD,,,2017/09/11 17:46:30+00,HAUCKR,2018/04/06 13:42:32+00,city\bentonm,,,No,147.599830629266
2159,MEETING ST,BETWEEN PINCKNEY ST AND CUMBERLAND ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 13:45:00+00,2017/09/11 19:00:00+00,Charleston PD,,,2017/09/11 17:52:30+00,HAUCKR,2018/04/06 13:42:32+00,city\bentonm,,,No,351.767710365806
2160,E BAY ST,BETWEEN CALHOUN ST AND S MARKET ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 13:45:00+00,2017/09/11 19:00:00+00,Charleston PD,,,2017/09/11 17:55:04+00,HAUCKR,2018/04/06 13:42:32+00,city\bentonm,,,No,1043.60448087344
2163,SOCIETY ST,BETWEEN ANSON ST AND WASHINGTON ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 14:15:00+00,2017/09/11 19:00:00+00,Charleston PD,,,2017/09/11 18:17:22+00,HAUCKR,2018/04/06 13:42:32+00,city\keitha,,,No,327.976337633282
2164,HASELL ST,BETWEEN E BAY ST AND WASHINGTON,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 14:15:00+00,2017/09/11 19:00:00+00,Charleston PD,,,2017/09/11 18:19:28+00,HAUCKR,2018/04/06 13:42:32+00,city\keitha,,,No,96.7223398618833
2165,WASHINGTON ST,BETWEEN PRICHARD ST AND HASELL ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 14:15:00+00,2017/09/11 18:15:00+00,Charleston PD,,,2017/09/11 18:20:50+00,HAUCKR,2018/04/06 13:42:32+00,city\keitha,,,No,100.781714467178
2166,PRITCHARD ST,BETWEEN WASHINGTON ST AND CONCORD ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 14:15:00+00,2017/09/11 18:15:00+00,Charleston PD,,,2017/09/11 18:23:13+00,HAUCKR,2018/04/06 13:42:32+00,city\keitha,,,No,164.622803873901
2167,CONCORD ST,BETWEEN PRITCHARD ST AND N MARKET ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 15:45:00+00,2017/09/11 18:15:00+00,Charleston PD,,,2017/09/11 18:24:16+00,HAUCKR,2018/04/06 13:42:32+00,city\keitha,,,No,217.136393751839
2168,S MARKET ST,BETWEEN E BAY ST CONCORD ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 14:15:00+00,2017/09/12 02:45:00+00,Charleston PD,,,2017/09/11 18:25:51+00,HAUCKR,2018/04/06 13:42:32+00,city\keitha,,,No,154.19561281415
2169,CUMBERLAND ST,BETWEEN E BAY ST AND CONCORD ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 14:15:00+00,2017/09/12 02:45:00+00,Charleston PD,,,2017/09/11 18:26:33+00,HAUCKR,2018/04/06 13:42:32+00,city\keitha,,,No,150.586155153971
2170,FABER ST,BETWEEN E BAY ST AND CONE ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 14:15:00+00,2017/09/11 19:00:00+00,Charleston PD,,,2017/09/11 18:27:41+00,HAUCKR,2018/04/06 13:42:32+00,city\keitha,,,No,138.080580334049
2177,ANSON ST,BETWEEN CALHOUN ST AND N MARKET ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 14:30:00+00,2017/09/12 02:45:00+00,Charleston PD,,,2017/09/11 18:43:31+00,HAUCKR,2018/04/06 13:42:33+00,city\keitha,,,No,956.173875054778
2178,PINCKNEY ST,BETWEEN MEETING ST AND E BAY ST,CLOSED,ALL LANES CLOSED,FLOOD,OPEN,2017/09/11 14:45:00+00,2017/09/11 19:00:00+00,Charleston PD,,,2017/09/11 18:47:05+00,HAUCKR,2018/04/06 13:42:33+00,CITY\KEITHA,,,No,439.703129054203
